,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-24,159.79421997070312,211.8162384033203,154.99642944335938,204.1999969482422,206.2023468017578,223.02999877929688,53.84298324584961,118.11710357666016,324.285400390625,345.27374267578125,195.97923278808594,116.92595672607422,154.12098693847656,137.26551818847656,56.45589828491211,242.56288146972656,156.32080078125,74.8340072631836,291.0381164550781,142.604736328125,154.32476806640625,162.47360229492188,449.6550598144531,198.75625610351562,47.3393669128418,46.70407485961914,136.46151733398438
2022-01-25,157.97500610351562,210.84188842773438,168.82546997070312,204.10000610351562,206.1830596923828,215.38999938964844,53.095436096191406,123.1415786743164,322.5477600097656,340.6898498535156,193.9183349609375,123.5337905883789,158.52793884277344,138.76174926757812,56.324073791503906,239.76051330566406,157.18019104003906,75.43206024169922,283.29986572265625,142.09681701660156,152.6408233642578,162.25225830078125,444.3732604980469,198.90391540527344,47.285743713378906,45.464691162109375,133.49281311035156
2022-01-26,157.88600158691406,208.49957275390625,170.98081970214844,194.27000427246094,206.16383361816406,211.0,52.35734176635742,123.23446655273438,323.6148986816406,339.07647705078125,192.336669921875,121.86367797851562,159.23724365234375,140.0780792236328,56.11692810058594,238.9666748046875,153.15457153320312,75.12828826904297,291.37200927734375,140.64151000976562,151.3109588623047,161.5401153564453,445.9198303222656,202.714599609375,45.60527038574219,44.36798095703125,132.13015747070312
2022-01-27,157.4213409423828,209.8675079345703,167.64544677734375,189.75,204.1242218017578,212.74000549316406,51.685482025146484,125.72346496582031,322.0566711425781,338.2697448730469,192.336669921875,120.28433227539062,161.32725524902344,137.60641479492188,56.16401672363281,237.905029296875,153.9325714111328,76.49530029296875,294.4456787109375,141.27638244628906,152.24859619140625,159.4229278564453,449.00335693359375,202.99032592773438,45.757225036621094,44.58197021484375,132.21774291992188
2022-01-28,168.4058380126953,214.68321228027344,172.67774963378906,190.57000732421875,193.53175354003906,222.1300048828125,52.62229537963867,121.30266571044922,327.7040100097656,347.86468505859375,193.62118530273438,122.08150482177734,162.46206665039062,138.83750915527344,57.28446578979492,244.9348602294922,147.5458526611328,76.799072265625,302.7142639160156,142.51686096191406,153.55935668945312,160.5392608642578,453.34161376953125,224.5054473876953,47.285743713378906,44.992130279541016,133.8529510498047
2022-01-31,172.80557250976562,212.80938720703125,175.3694305419922,200.24000549316406,193.91656494140625,232.6300048828125,52.67906951904297,121.97137451171875,334.9472961425781,348.28228759765625,196.00799560546875,121.23738098144531,162.93492126464844,140.72203063964844,57.44453048706055,248.1485137939453,150.1873779296875,77.34968566894531,305.3852844238281,144.6266326904297,153.51148986816406,159.92335510253906,459.6739807128906,222.70347595214844,47.580718994140625,44.36798095703125,136.08189392089844
2022-02-01,172.63751220703125,214.2522430419922,178.99734497070312,208.33999633789062,197.5628662109375,232.1199951171875,52.39518356323242,125.18482208251953,343.805419921875,349.9146728515625,196.83238220214844,123.01641082763672,161.60150146484375,143.1368408203125,57.02082824707031,247.7085418701172,151.46287536621094,77.76736450195312,303.2052307128906,144.77313232421875,152.8322296142578,161.66522216796875,455.62750244140625,228.79861450195312,47.55390167236328,44.35905838012695,137.152587890625
2022-02-02,173.85357666015625,214.48643493652344,179.6020050048828,207.52000427246094,197.1684112548828,225.00999450683594,53.15220260620117,125.7606430053711,342.86102294921875,354.6883239746094,198.95082092285156,124.57760620117188,163.3888702392578,141.99099731445312,57.60459899902344,250.855224609375,150.76632690429688,77.85281372070312,307.8206787109375,145.25173950195312,155.5685272216797,166.2171630859375,466.6872253417969,231.8116912841797,48.09022521972656,44.94754409790039,137.09417724609375
2022-02-03,170.9468231201172,209.9049835205078,179.48495483398438,206.38999938964844,192.9833526611328,212.77000427246094,52.23432540893555,124.63687133789062,338.9136962890625,346.2228088378906,183.79586791992188,125.05865478515625,163.37940979003906,140.81674194335938,58.00946807861328,249.2866973876953,148.7128143310547,75.00487518310547,295.83038330078125,141.93080139160156,157.0419464111328,165.5916290283203,475.4318542480469,227.99118041992188,48.0812873840332,44.13615417480469,137.2304229736328
2022-02-04,170.6597137451172,208.0967254638672,181.2501983642578,206.4499969482422,190.8860321044922,219.22999572753906,52.18701171875,126.19712829589844,347.14849853515625,341.3446960449219,183.5657958984375,124.48684692382812,162.31077575683594,144.47207641601562,57.3974494934082,248.73191833496094,145.40182495117188,74.57768249511719,300.43597412109375,142.00894165039062,154.5447998046875,165.42800903320312,469.9847106933594,224.8894500732422,47.6522331237793,43.333675384521484,135.61468505859375
